gene,function,category,functional_group
SAOUHSC_01093,phenylalanyl-tRNA synthetase subunit beta,Protein synthesis,Translation
SAOUHSC_01095,ribonuclease HIII,DNA metabolism,DNA metabolism
SAOUHSC_01096,hypothetical protein,Central intermediary metabolism,Central metabolism
SAOUHSC_01097,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01098,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01099,recombination and DNA strand exchange inhibitor protein,DNA metabolism,DNA metabolism
SAOUHSC_01100,thioredoxin,Energy metabolism,Energy metabolism
SAOUHSC_01101,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01102,excinuclease ABC subunit C,DNA metabolism,DNA metabolism
SAOUHSC_01103,succinate dehydrogenase cytochrome b-558 subunit,Energy metabolism,Energy metabolism
SAOUHSC_01104,succinate dehydrogenase flavoprotein subunit,Energy metabolism,Energy metabolism
SAOUHSC_01105,succinate dehydrogenase iron-sulfur subunit,Energy metabolism,Energy metabolism
SAOUHSC_01106,glutamate racemase,Cell envelope,Cell envelope
SAOUHSC_01107,nucleoside-triphosphatase,DNA metabolism,DNA metabolism
SAOUHSC_01108,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01109,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01110,fibrinogen-binding protein-like protein,,Virulence
SAOUHSC_01111,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01112,formyl peptide receptor-like 1 inhibitory protein,,Unknown/Hypothetical
SAOUHSC_01113,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01114,fibrinogen-binding protein,,Virulence
SAOUHSC_01115,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01118,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A01079,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01119,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A01081,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01120,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01121,alpha-hemolysin,Cellular processes,Virulence
SAOUHSC_01122,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01123,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01124,superantigen-like protein,,Virulence
SAOUHSC_01125,superantigen-like protein,,Virulence
SAOUHSC_01127,superantigen-like protein,,Virulence
SAOUHSC_01128,ornithine carbamoyltransferase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_01129,carbamate kinase,Energy metabolism,Energy metabolism
SAOUHSC_01130,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_01131,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01133,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01134,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01135,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01136,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01137,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01138,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01142,cell division protein MraZ,Cellular processes; Regulatory functions,Cellular processes
SAOUHSC_01143,16S rRNA (cytosine(1402)-N(4))-methyltransferase,Protein synthesis,Translation
SAOUHSC_01144,cell division protein,Cellular processes,Cellular processes
SAOUHSC_01145,penicillin-binding protein 1,Cell envelope; Cellular processes,Virulence
SAOUHSC_01146,phospho-N-acetylmuramoyl-pentapeptide- transferase,Cell envelope,Cell envelope
SAOUHSC_01147,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,Cell envelope,Cell envelope
SAOUHSC_01148,cell division protein,Cell envelope; Transport and binding proteins,Cell envelope
SAOUHSC_01149,cell division protein,Cellular processes,Cellular processes
SAOUHSC_01150,cell division protein FtsZ,Cellular processes,Cellular processes
SAOUHSC_01152,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01153,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01154,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_01155,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01156,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_01158,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01159,isoleucyl-tRNA synthetase,Protein synthesis,Translation
SAOUHSC_01160,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_01161,putative transposase,,Unknown/Hypothetical
SAOUHSC_01162,lipoprotein signal peptidase,Protein fate,Protein fate
SAOUHSC_01163,hypothetical protein,Protein synthesis,Translation
SAOUHSC_01164,bifunctional pyrimidine regulatory protein PyrR/uracil phosphoribosyltransferase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01165,uracil permease,Transport and binding proteins,Transport
SAOUHSC_01166,aspartate carbamoyltransferase catalytic subunit,"Purines, pyrimidines, nucleosides, and nucleotides",Virulence
SAOUHSC_01168,dihydroorotase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01169,carbamoyl phosphate synthase small subunit,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01170,carbamoyl phosphate synthase large subunit,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01171,orotidine 5'-phosphate decarboxylase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01172,orotate phosphoribosyltransferase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01173,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01174,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01175,fibrinogen-binding protein A-like protein,,Virulence
SAOUHSC_01176,guanylate kinase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01177,DNA-directed RNA polymerase subunit omega,Transcription,Transcription
SAOUHSC_01178,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01179,primosomal protein N,DNA metabolism,DNA metabolism
SAOUHSC_01180,hypothetical protein,Protein fate,Protein fate
SAOUHSC_01181,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01182,peptide deformylase,Protein fate,Protein fate
SAOUHSC_01183,methionyl-tRNA formyltransferase,Protein synthesis,Translation
SAOUHSC_01184,16S rRNA (cytosine(967)-C(5))-methyltransferase,Protein synthesis,Translation
SAOUHSC_01185,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,Protein synthesis,Translation
SAOUHSC_01186,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01187,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_01188,hypothetical protein,Protein synthesis,Translation
SAOUHSC_01189,ribulose-phosphate 3-epimerase,Energy metabolism,Energy metabolism
SAOUHSC_01190,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01191,50S ribosomal protein L28,Protein synthesis,Translation
SAOUHSC_01192,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01193,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01194,ATP-dependent DNA helicase RecG,DNA metabolism,DNA metabolism
SAOUHSC_01196,fatty acid biosynthesis transcriptional regulator,,Unknown/Hypothetical
SAOUHSC_01197,glycerol-3-phosphate acyltransferase PlsX,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_01198,malonyl CoA-acyl carrier protein transacylase,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_01199,3-oxoacyl-(acyl-carrier-protein) reductase,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_01200,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01201,acyl carrier protein,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_01203,ribonuclease III,Transcription,Transcription
SAOUHSC_01204,SMC domain-containing protein,Cellular processes; DNA metabolism,Cellular processes
SAOUHSC_01205,signal recognition particle-docking protein FtsY,Protein fate,Protein fate
SAOUHSC_01206,DNA-binding protein,,Unknown/Hypothetical
SAOUHSC_01207,signal recognition particle protein,Protein fate,Protein fate
SAOUHSC_01208,30S ribosomal protein S16,Protein synthesis,Translation
SAOUHSC_01209,16S rRNA-processing protein RimM,Transcription,Transcription
SAOUHSC_01210,tRNA (guanine-N(1)-)-methyltransferase,Protein synthesis,Translation
SAOUHSC_01211,50S ribosomal protein L19,Protein synthesis,Translation
SAOUHSC_01212,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01213,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_01214,ribosomal biogenesis GTPase,Protein synthesis,Translation
SAOUHSC_01215,ribonuclease HII,DNA metabolism,DNA metabolism
SAOUHSC_01216,succinyl-CoA synthetase subunit beta,Energy metabolism,Energy metabolism
SAOUHSC_01218,succinyl-CoA synthetase subunit alpha,Energy metabolism,Energy metabolism
SAOUHSC_01219,cell wall hydrolase,,Cell envelope
SAOUHSC_01220,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01221,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_01222,DNA topoisomerase I,DNA metabolism,DNA metabolism
SAOUHSC_01223,tRNA (uracil-5-)-methyltransferase Gid,Protein synthesis,Translation
SAOUHSC_01224,site-specific recombinase,DNA metabolism,DNA metabolism
SAOUHSC_01225,ATP-dependent protease peptidase subunit,Protein fate,Virulence
SAOUHSC_01226,ATP-dependent protease ATP-binding subunit HslU,Protein fate,Virulence
SAOUHSC_01228,transcriptional repressor CodY,Regulatory functions,Regulatory
SAOUHSC_01230,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01232,30S ribosomal protein S2,Protein synthesis,Translation
SAOUHSC_01233,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01234,elongation factor Ts,Protein synthesis,Translation
SAOUHSC_01235,uridylate kinase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01236,ribosome recycling factor,Protein synthesis,Translation
SAOUHSC_01237,undecaprenyl pyrophosphate synthase,Cell envelope,Cell envelope
SAOUHSC_01238,phosphatidate cytidylyltransferase,,Unknown/Hypothetical
SAOUHSC_01239,hypothetical protein,Protein fate,Protein fate
SAOUHSC_01240,prolyl-tRNA synthetase,Protein synthesis,Translation
SAOUHSC_01241,DNA polymerase III PolC,DNA metabolism,DNA metabolism
SAOUHSC_01242,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01243,transcription elongation factor NusA,Transcription,Transcription
SAOUHSC_01244,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01245,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01246,translation initiation factor IF-2,Protein synthesis,Translation
SAOUHSC_01247,ribosome-binding factor A,Transcription,Transcription
SAOUHSC_01248,tRNA pseudouridine synthase B,Protein synthesis,Translation
SAOUHSC_01249,riboflavin biosynthesis protein RibF,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01250,30S ribosomal protein S15,Protein synthesis,Translation
SAOUHSC_01251,polynucleotide phosphorylase/polyadenylase,Transcription,Transcription
SAOUHSC_01252,hypothetical protein,Transcription,Transcription
SAOUHSC_01253,hypothetical protein,Protein fate,Protein fate
SAOUHSC_01254,hypothetical protein,Regulatory functions; Transport and binding proteins,Regulatory
SAOUHSC_01255,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01256,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01257,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01258,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01259,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01260,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_01261,competence-damage inducible protein cinA,DNA metabolism,DNA metabolism
SAOUHSC_01262,recombinase A,DNA metabolism,DNA metabolism
SAOUHSC_01263,phosphodiesterase,Transcription,Virulence
SAOUHSC_01264,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01265,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01266,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01267,2-oxoglutarate ferredoxin oxidoreductase subunit beta,,Unknown/Hypothetical
SAOUHSC_01268,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01269,(dimethylallyl)adenosine tRNA methylthiotransferase,Protein synthesis,Translation
SAOUHSC_01270,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01271,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers; Transport and binding proteins",Cofactor biosynthesis
SAOUHSC_01272,DNA mismatch repair protein MutS,DNA metabolism,DNA metabolism
SAOUHSC_01273,DNA mismatch repair protein,DNA metabolism,DNA metabolism
SAOUHSC_01274,glycerol uptake operon antiterminator regulatory protein,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_01275,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_01276,glycerol kinase,Energy metabolism,Energy metabolism
SAOUHSC_01278,aerobic glycerol-3-phosphate dehydrogenase,Energy metabolism,Energy metabolism
SAOUHSC_01279,hydrolase alpha/beta fold domain-containing protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01280,tRNA delta(2)-isopentenylpyrophosphate transferase,Protein synthesis,Translation
SAOUHSC_01281,host factor 1 protein,Regulatory functions,Regulatory
SAOUHSC_01282,glutathione peroxidase,,Unknown/Hypothetical
SAOUHSC_01283,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01284,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_01285,glutamine synthetase repressor,Regulatory functions,Regulatory
SAOUHSC_01287,glutamine synthetase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_01288,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01289,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01290,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01291,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01292,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01293,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01294,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01295,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01296,hypothetical protein,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_01297,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01298,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01299,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01300,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_01301,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01304,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01305,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01306,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01307,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_1307a,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01310,cardiolipin synthetase,,Unknown/Hypothetical
SAOUHSC_01311,ABC transporter ATP-binding protein,Transport and binding proteins,Transport
SAOUHSC_01312,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_01313,histidine kinase,Signal transduction,Signal transduction
SAOUHSC_01314,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_01315,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_01316,thermonuclease,,Unknown/Hypothetical
SAOUHSC_01317,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_01318,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01319,aspartate kinase,Amino acid biosynthesis,Virulence
SAOUHSC_01320,homoserine dehydrogenase,Regulatory functions,Regulatory
SAOUHSC_01321,threonine synthase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_01322,homoserine kinase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_01323,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01324,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01325,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01326,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_01327,catalase,,Unknown/Hypothetical
SAOUHSC_01328,50S ribosomal protein L33,Protein synthesis,Translation
SAOUHSC_01329,30S ribosomal protein S14,,Unknown/Hypothetical
SAOUHSC_01330,guanosine 5'-monophosphate oxidoreductase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01331,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01332,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01333,LexA repressor,DNA metabolism; Regulatory functions,DNA metabolism
SAOUHSC_01334,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01336,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_01337,transketolase,Energy metabolism,Energy metabolism
SAOUHSC_01338,hypothetical protein,Cell envelope,Cell envelope
SAOUHSC_01339,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01340,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_01341,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_01343,,DNA metabolism,DNA metabolism
SAOUHSC_1342a,large-conductance mechanosensitive channel,Cellular processes,Cellular processes
SAOUHSC_01346,glycine betaine transporter,Transport and binding proteins,Transport
SAOUHSC_01347,aconitate hydratase,Energy metabolism,Energy metabolism
SAOUHSC_01348,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_01349,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01350,hypothetical protein,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_01351,DNA topoisomerase IV subunit B,DNA metabolism,DNA metabolism
SAOUHSC_01352,DNA topoisomerase IV subunit A,DNA metabolism,DNA metabolism
SAOUHSC_01353,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01354,sodium:alanine symporter family protein,,Unknown/Hypothetical
SAOUHSC_01356,transcription antiterminator,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01357,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01358,hypothetical protein,Cellular processes,Cellular processes
